date,state,county,city,ipeds_id,college,cases,cases_2021,notes
5/26/2021,Louisiana,East Baton Rouge,Baton Rouge,437103,Baton Rouge Community College,9,7,
5/26/2021,Louisiana,Bossier,Bossier City,158431,Bossier Parish Community College,92,28,
5/26/2021,Louisiana,Caddo,Shreveport,158477,Centenary College of Louisiana,144,79,
5/26/2021,Louisiana,Rapides,Alexandria,158088,Central Louisiana Technical Community College,88,24,
5/26/2021,Louisiana,Orleans,New Orleans,158662,Delgado Community College,70,37,
5/26/2021,Louisiana,Orleans,New Orleans,158802,Dillard University,48,30,
5/26/2021,Louisiana,Terrebonne,Schriever,160481,Fletcher Technical Community College,10,8,
5/26/2021,Louisiana,East Baton Rouge,Baton Rouge,160074,Franciscan Missionaries of Our Lady University,108,66,
5/26/2021,Louisiana,Lincoln,Grambling,159009,Grambling State University,158,98,
5/26/2021,Louisiana,Rapides,Pineville,159568,Louisiana College,134,58,
5/26/2021,Louisiana,Ouachita,Monroe,483212,Louisiana Delta Community College,117,15,
5/26/2021,Louisiana,East Baton Rouge,Baton Rouge,159391,Louisiana State University,2349,724,
5/26/2021,Louisiana,Rapides,Alexandria,159382,Louisiana State University Alexandria,126,48,
5/26/2021,Louisiana,Acadia,Eunice,159407,Louisiana State University Eunice,149,76,
5/26/2021,Louisiana,Orleans,New Orleans,159373,"Louisiana State University Health Sciences Center, New Orleans",467,118,
5/26/2021,Louisiana,Caddo,Shreveport,435000,"Louisiana State University Health Sciences Center, Shreveport",70,15,
5/26/2021,Louisiana,Caddo,Shreveport,159416,Louisiana State University Shreveport ,170,88,
5/26/2021,Louisiana,Lincoln,Ruston,159647,Louisiana Tech University,839,240,
5/26/2021,Louisiana,Orleans,New Orleans,159656,Loyola University New Orleans,295,135,
5/26/2021,Louisiana,Calcasieu,Lake Charles,159717,McNeese State University,47,41,
5/26/2021,Louisiana,Orleans,New Orleans,159948,New Orleans Baptist Theological Seminary,32,16,
5/26/2021,Louisiana,Lafourche,Thibodaux,159966,Nicholls State University,334,143,
5/26/2021,Louisiana,St. Tammany,Lacombe,160667,Northshore Technical Community College,33,13,
5/26/2021,Louisiana,Webster,Minden,160010,Northwest Louisiana Technical College,37,16,
5/26/2021,Louisiana,Natchitoches,Natchitoches,160038,Northwestern State University of Louisiana,552,135,
5/26/2021,Louisiana,St. Bernard,Chalmette,158884,Nunez Community College,27,18,
5/26/2021,Louisiana,Ascension,Gonzales,436304,River Parishes Community College,9,3,
5/26/2021,Louisiana,Calcasieu,Lake Charles,160579,SOWELA Technical Community College,40,27,
5/26/2021,Louisiana,St. Tammany,Benedict,160409,Saint Joseph Seminary College,2,1,
5/26/2021,Louisiana,Lafayette,Lafayette,434061,South Louisiana Community College,103,32,
5/26/2021,Louisiana,Tangipahoa,Hammond,160612,Southeastern Louisiana University,604,236,
5/26/2021,Louisiana,East Baton Rouge,Baton Rouge,440916,Southern University Law Center,35,19,
5/26/2021,Louisiana,East Baton Rouge,Baton Rouge,160621,Southern University and A&M College,331,104,
5/26/2021,Louisiana,Orleans,New Orleans,160630,Southern University at New Orleans,21,5,
5/26/2021,Louisiana,Caddo,Shreveport,160649,Southern University at Shreveport,34,2,
5/26/2021,Louisiana,Orleans,New Orleans,160755,Tulane University of Louisiana,2194,835,
5/26/2021,Louisiana,Orleans,New Orleans,160065,University of Holy Cross,8,2,
5/26/2021,Louisiana,Ouachita,Monroe,159993,University of Louisiana Monroe,507,136,
5/26/2021,Louisiana,Lafayette,Lafayette,160658,University of Louisiana at Lafayette,848,253,
5/26/2021,Louisiana,Orleans,New Orleans,159939,University of New Orleans,100,41,
5/26/2021,Louisiana,Orleans,New Orleans,160904,Xavier University of Louisiana,119,65,
